approve,decision,category,confidence,Year,Reference,Sample_type,Platform,Platform_class,Study_population,N_proteins,N_samples,N_cis_pQTL,N_trans_pQTL,N_pQTL_total,PMID,DOI,PubMed_url,DOI_url,journal,snippet,notes,overlap_flag
,keep,primary_pgwas,high,2025,"Thielemann et al., medRxiv 2025",Plasma,Affinity-based proteomics (178 proteins),Other,"HOLBAEK Study, Danish children & adolescents",178,3853,,,1328 independent genome-wide significant associations,,10.1101/2025.03.18.25324169,,https://doi.org/10.1101/2025.03.18.25324169,"{'publisher': 'medRxiv', 'yearOfPublication': 2025}","Here, we mapped pQTLs for 178 plasma proteins measured using affinity-based proteomics in 3,853 Danish children and adolescents... we identified 1,328 independent, genome-wide significant associations for 178 proteins.",De-novo affinity proteomic measurement + genome-wide pQTL discovery in a pediatric cohort (novel age group); also runs one-sample MR; preprint (no PMID).,
,keep,primary_pgwas,high,2025,"Wingo et al., medRxiv 2025",CSF,Mass spectrometry,Mass spec,1005 participants (incl. ADNI; ancestry NR),2961,1005,1417,130,1547,,10.1101/2025.09.21.25336297,,https://doi.org/10.1101/2025.09.21.25336297,"{'publisher': 'medRxiv', 'yearOfPublication': 2025}","we used mass spectrometry to profile CSF proteins in 1,005 participants measuring 2,961 proteins... We identified 1,417 cis and 130 trans pQTLs, and uncover 24 candidate causal proteins.",De-novo mass-spec CSF proteogenomics with cis/trans-pQTL discovery; novel vs affinity-based CSF pQTL studies (1066 proteins not on other platforms). Preprint (no PMID). Integrates with AD GWAS.,
,keep,primary_pgwas,high,2025,"Bankier et al., medRxiv 2025",Plasma,"NR (proteomics, ~Olink/SomaScan not stated)",Other,532 CAD patients (STARNET study),974,532,144 plasma cis-pQTLs (colocalizing with tissue eQTLs),,,,10.1101/2025.01.22.25320723,,https://doi.org/10.1101/2025.01.22.25320723,"{'publisher': 'medRxiv', 'yearOfPublication': 2025}",We profiled 974 plasma proteins in 532 CAD-patients of the STARNET study ... 144 plasma cis-pQTLs colocalized with tissue eQTLs including eight CMD/CAD GWAS genes.,De-novo plasma proteomics in STARNET with cis-pQTL discovery + tissue eQTL coloc/GRN integration. Specific platform not named in abstract; small N.,
,keep,primary_pgwas,high,2025,"Raffield et al., Research Square 2025",Plasma,SomaScan 7k + Olink Explore 3072,Multi-platform,"1930 participants (European, African, East Asian, Admixed American ancestry)",2157,1930,,,,,10.21203/rs.3.rs-5968391/v1,,https://doi.org/10.21203/rs.3.rs-5968391/v1,"{'publisher': 'Research Square', 'yearOfPublication': 2025}","we examined 2,157 proteins measured on both SomaScan 7k and Olink Explore 3072 across 1,930 participants ... Protein measures were associated with variants (pQTLs), and one-third of the pQTL signals were driven by protein-altering variants (PAVs).",De-novo dual-platform measurement with own cross-ancestry pQTL discovery and PAV analysis.,
,keep,primary_pgwas,high,2025,"Bouland et al., medRxiv 2025",Brain,Brain proteomics (Gyrus Temporalis Medius),Mass spec,"190 brain samples (88 AD, 53 non-demented, 49 centenarians)",227,190,,,8081 variants associated with 227 proteins,,10.1101/2025.02.11.25322052,,https://doi.org/10.1101/2025.02.11.25322052,"{'publisher': 'medRxiv', 'yearOfPublication': 2025}","We conducted a comprehensive protein quantitative trait loci (pQTL) analysis on a unique set of Gyrus Temporalis Medius (GTM) samples... This investigation revealed 8,081 genetic variants associated with the abundance of 227 proteins.","De-novo brain proteome + pQTL discovery in a unique GTM tissue set, including novel variant-protein links vs prior cortex study; preprint (no PMID). Platform_class assumed mass spec (typical for brain proteomics).",
,keep,primary_pgwas,high,2024,"Suhre et al., Nat Commun 2024",Plasma (blood),Proteograph (Seer) bottom-up LC-MS/MS,Mass spec,Multi-ethnic cohort (QMDiab),"~3000 proteins / >18,000 peptides",>320,,,184 protein-altering variant associations in 137 genes,38307861,10.1038/s41467-024-45233-y,https://pubmed.ncbi.nlm.nih.gov/38307861/,https://doi.org/10.1038/s41467-024-45233-y,Nature communications,"Here we report a pQTL study using the Proteograph Product Suite workflow (Seer, Inc.) where we quantify over 18,000 unique peptides from nearly 3000 proteins in more than 320 blood samples ... We identify 184 protein-altering variants in 137 genes that are significantly associated with their corresponding variant peptides.",De-novo nanoparticle MS proteomics with genetic discovery of protein-altering/peptide variant pQTLs; clean primary pGWAS.,
,keep,primary_pgwas,high,2024,"Wang et al., Nat Genet 2024",Plasma,NR (proteomics platform not stated in abstract),Other,"Japan COVID-19 Task Force (JCTF), Japanese",NR,2932 plasma samples,582 (fine-mapped pQTLs total),NR,582,39317738,10.1038/s41588-024-01896-3,https://pubmed.ncbi.nlm.nih.gov/39317738/,https://doi.org/10.1038/s41588-024-01896-3,Nature genetics,"Here we report cis-eQTL and cis-pQTL statistical fine-mapping from 1,405 genotyped samples with blood mRNA and 2,932 plasma samples of protein expression, as part of the Japan COVID-19 Task Force (JCTF).",De-novo plasma proteomics + cis/trans-pQTL discovery and fine-mapping in Japanese cohort; also reports cis-eQTL. Proteomic platform not named in abstract.,
,keep,primary_pgwas,high,2024,"Tahir et al., J Clin Invest 2024",Plasma,Olink (~3000 proteins),PEA (Olink),Jackson Heart Study (Black/African American adults); validation in MESA (multi-ethnic),~3000,1054,,,1002 pQTLs for 925 protein assays,39316441,10.1172/jci181802,https://pubmed.ncbi.nlm.nih.gov/39316441/,https://doi.org/10.1172/jci181802,The Journal of clinical investigation,"We conducted a discovery GWAS of approximately 3,000 plasma proteins measured by the antibody-based Olink platform in 1,054 Black adults from the Jackson Heart Study (JHS) and validated our findings in the Multi-Ethnic Study of Atherosclerosis (MESA)... We identified 1,002 pQTLs for 925 protein assays.",De-novo Olink measurement + ancestry-enriched discovery pGWAS with fine-mapping/admixture; downstream PheWAS is secondary.,
,keep,primary_pgwas,high,2024,"Luo et al., Mol Psychiatry 2024",Brain,11-plex TMT 2D-LC-MS/MS,Mass spec,"Human brain, 268 subjects",11608,268,788,,788 cis-pQTL (883 proteins),38724566,10.1038/s41380-024-02576-8,https://pubmed.ncbi.nlm.nih.gov/38724566/,https://doi.org/10.1038/s41380-024-02576-8,Molecular psychiatry,"Here we generated deep human brain proteomics data by quantifying 11,608 proteins across 268 subjects using 11-plex tandem mass tag... Our analysis revealed 788 cis-acting protein quantitative trait loci.",De-novo brain TMT-MS proteome + cis-pQTL discovery; also runs SMR/MR but has primary measurement and scan.,
,keep,primary_pgwas,high,2024,"Boahen et al., BMC Genomics 2024",Plasma/Serum,Olink Inflammation panel,PEA (Olink),Two Dutch/European population-based cohorts,"NR (Olink inflammatory panel, ~92)",NR,,,NR,38326779,10.1186/s12864-024-10065-z,https://pubmed.ncbi.nlm.nih.gov/38326779/,https://doi.org/10.1186/s12864-024-10065-z,BMC genomics,We performed sex-stratified meta-analysis after protein quantitative trait loci (pQTL) mapping using inflammatory biomarkers profiled using targeted proteomics (Olink inflammatory panel) of two population-based cohorts of Europeans.,De-novo Olink pQTL mapping with sex-stratified analysis; coloc downstream. Panel size/N not stated in abstract.,
,keep,primary_pgwas,high,2024,"Smith et al., Drug Metab Dispos 2024",Liver (human liver tissue),DIA-based proteomics (LC-MS/MS),Mass spec,"Individual human livers, multi-ethnic (Illumina MEGA genotyping)",1 (CYP2D6 targeted readout),NR,"2 (rs1807493, rs1062753)","3 (rs4073010, rs729559, rs80274432)",44 genome-wide-significant SNPs; 5 independent after conditioning,38050015,10.1124/dmd.123.001548,https://pubmed.ncbi.nlm.nih.gov/38050015/,https://doi.org/10.1124/dmd.123.001548,Drug metabolism and disposition: the biological fate of chemicals,we performed a genome-wide association study (GWAS) to identify novel variants associated with CYP2D6 protein expression ... A data-independent acquisition (DIA)-based proteomics method was used to quantify CYP2D6 protein concentrations.,De-novo DIA-MS quantification of CYP2D6 in human livers + GWAS of protein expression; genuine de-novo pQTL discovery though single-protein/tissue focus.,
,keep,primary_pgwas,high,2024,"Sarnowski et al., medRxiv 2024",Plasma,SomaScan (aptamer; 4651 proteins),Aptamer (SomaScan),Atherosclerosis Risk in Communities (ARIC); European + African (19.8%) ancestry,4651,9455,NR,NR,"1408 proteins with pQTL (AFR), 2565 proteins with pQTL (EUR)",,10.1101/2024.09.27.24314500,,https://doi.org/10.1101/2024.09.27.24314500,"{'publisher': 'medRxiv', 'yearOfPublication': 2024}","Of 4,651 proteins, 1,408 and 2,565 proteins had protein-quantitative trait loci (pQTLs) identified in African and European ancestry respectively.",De-novo SomaScan pQTL discovery in ARIC across two ancestries; preprint (no PMID). Likely overlaps with prior ARIC SomaScan pQTL work (e.g. Zhang et al. 2022) - flag.,
,keep,primary_pgwas,medium,2025,"Dimas et al., Research Square 2025",Plasma,NR (multiplex plasma proteomics),Other,"Healthy individuals alternating omnivory/dietary restriction (N=200) + omnivorous controls (N=211), Greek",NR,200 (+211 controls),"diet-responsive cis-pQTLs (LBR, MSRA, FGF21)",,,,10.21203/rs.3.rs-7213009/v1,,https://doi.org/10.21203/rs.3.rs-7213009/v1,"{'publisher': 'Research Square', 'yearOfPublication': 2025}","Using longitudinal plasma proteomic and genotypic data, we identified diet-responsive cis-protein quantitative trait loci (cis-pQTLs) including gain of genetic regulatory effects for LBR and MSRA.","De-novo longitudinal plasma proteomic + genotype data with discovery of diet/season-responsive cis-pQTLs; primary measurement and genetic mapping, though platform/N-proteins not stated and gene-by-environment focus. Keep.",
,keep,primary_pgwas,medium,2024,"Reus et al., Brain 2024",CSF,Olink PEA (proximity extension),PEA (Olink),"Mixed memory-clinic cohort (n=502; AD/DLB/FTD/controls), European",665,502 (discovery),,GBA trans effects on 7 CSF proteins (DLB),"~5 pQTLs (CR1-CR2, ZCWPW1-PILRB, CTSH, HESX1-RETN, TREM2-IL6)",38527854,10.1093/brain/awae090,https://pubmed.ncbi.nlm.nih.gov/38527854/,https://doi.org/10.1093/brain/awae090,Brain : a journal of neurology,We tested to what extent effects of known dementia risk loci can be observed in CSF levels of 665 proteins [proximity extension-based (PEA) immunoassays] ... We identified four AD risk loci as protein quantitative trait loci (pQTL).,"De-novo CSF PEA measurement + genetic pQTL discovery (locus-targeted plus stratified), with independent replication; keep though analysis is risk-locus-focused rather than fully genome-wide.",
,keep,primary_pgwas,medium,2023,"Mazidi et al., J Am Coll Cardiol 2023",Plasma,Olink Explore (1463 proteins),PEA (Olink),China Kadoorie Biobank (Chinese),1463,~3972 (1971 IHD cases + 2001 subcohort),212 proteins with cis-pQTL in CKB,NR,NR,37940228,10.1016/j.jacc.2023.09.804,https://pubmed.ncbi.nlm.nih.gov/37940228/,https://doi.org/10.1016/j.jacc.2023.09.804,Journal of the American College of Cardiology,cis-protein quantitative loci (pQTLs) identified for proteins in genome-wide association studies of CKB and of UK Biobank were used as instrumental variables.,De-novo Olink Explore measurement in CKB with own genome-wide cis-pQTL discovery; heavy MR/drug-target framing but has primary scan. UKB cis-pQTLs used for replication.,
,borderline,primary_pgwas,medium,2026,"Western et al., Sci Transl Med 2026",CSF and Plasma,NR (aptamer/SomaScan likely),Other,"Knight ADRC / neurological cohorts, European",NR,NR,,,~5000 CSF+plasma pQTLs,42054495,10.1126/scitranslmed.adz2016,https://pubmed.ncbi.nlm.nih.gov/42054495/,https://doi.org/10.1126/scitranslmed.adz2016,Science translational medicine,"We compared the pQTL landscapes between plasma and cerebrospinal fluid (CSF) ... Of almost 5000 CSF and plasma pQTLs, fewer than 30% were present in both fluids.",CSF/plasma proteogenomics deriving ~5000 pQTLs across fluids; de-novo measurement plausible but platform/N not stated in abstract; borderline per CSF-proteogenomics clause.,
,borderline,meta_of_existing,medium,2026,"Koprulu et al., Cell 2026",Plasma/Serum,Multi-cohort (Olink/affinity across 38 studies),Multi-platform,"78,664 participants across 38 studies",1116,78664,5040,19698,>24000,42097137,10.1016/j.cell.2026.03.049,https://pubmed.ncbi.nlm.nih.gov/42097137/,https://doi.org/10.1016/j.cell.2026.03.049,Cell,"Here, we present the largest proteogenomic study to date (n = 78,664 participants across 38 studies), identifying >24,000 protein quantitative trait loci (QTLs) associated with 1,116 proteins.","Multi-cohort meta-analysis across 38 studies (web lookup: described as multi-cohort meta-analysis, no single de-novo measurement generated by this paper); leans meta_of_existing but aggregates cohort-level pQTL data. Borderline pending whether contributing cohorts are primary vs summary-stat.",
,borderline,method_or_database,medium,2026,"Stephan et al., J Proteome Res 2026",Plasma,Aptamer-based affinity proteomics (SomaScan),Aptamer (SomaScan),"German, Arab-Asian and Qatari cohorts (3 independent)",NR,NR,,,,41697000,10.1021/acs.jproteome.5c00887,https://pubmed.ncbi.nlm.nih.gov/41697000/,https://doi.org/10.1021/acs.jproteome.5c00887,Journal of proteome research,we applied highly multiplexed aptamer-based affinity proteomics to plasma samples from three independent cohorts ... to evaluate how adjusting for all measured proteins influences protein quantitative trait loci (pQTLs) associations.,Methods/framework paper on latent preanalytical variation using de-novo aptamer data; uses pQTL p-gain as a readout rather than reporting a new genome-wide pQTL catalog; flag as method-leaning borderline.,
,borderline,primary_pgwas,medium,2026,"Cruz et al., HGG Adv 2026",Plasma,Aptamer/SomaScan (circulating proteome),Aptamer (SomaScan),"Jackson Heart Study (African American), N=1,989; replication MESA (N=196)",NR,1989,,,62 proteins associated with local African ancestry (21 independent of known GWAS variants),41069105,10.1016/j.xhgg.2025.100529,https://pubmed.ncbi.nlm.nih.gov/41069105/,https://doi.org/10.1016/j.xhgg.2025.100529,HGG advances,"We performed admixture mapping of the circulating proteome in 1,989 participants from the Jackson Heart Study (JHS)... 21 of 62 remained statistically significant after conditioning on protein-associated variants observed in previous GWASs.","De-novo proteome in JHS; admixture mapping (not classical SNP pGWAS) of genetic determinants of protein levels, conditioned on prior GWAS variants - pGWAS-adjacent, borderline keep.",
,borderline,primary_pgwas,medium,2026,"Maya et al., Int J Mol Sci 2026",Plasma,NR (complement protein immunoassay panel),Other,"General-population sample, 50 ME/CFS + 121 non-fatigued",NR (complement pathway proteins),171,,,,41683992,10.3390/ijms27031574,https://pubmed.ncbi.nlm.nih.gov/41683992/,https://doi.org/10.3390/ijms27031574,International journal of molecular sciences,"We used protein quantitative trait loci (pQTL) analyses, adjusted for covariates using linear and logistic regression, to identify genetic variants significantly associated with plasma complement protein levels.","De-novo pQTL discovery on plasma complement proteins in a custom cohort; very small N and platform not specified, candidate-pathway (not full genome-wide proteome) scope. Methodologically primary but limited.",
,borderline,primary_pgwas,medium,2026,"Zou et al., Nature 2026",Plasma,Olink (UK Biobank Pharma Proteomics Project),PEA (Olink),"470,727 UK Biobank whole-genome sequences (multiancestry)",2941,"NR (subset with proteomics, ~UKB-PPP)",,,CNV cis- and trans-pQTLs (count NR),41639462,10.1038/s41586-025-10087-x,https://pubmed.ncbi.nlm.nih.gov/41639462/,https://doi.org/10.1038/s41586-025-10087-x,Nature,Proteomic analyses validated functional associations of CNVs with nearby genes (cis-protein quantitative trait loci; cis-pQTLs) ... and uncovered previously unknown protein-protein interactions (trans-pQTLs).,"Borderline: new genome-wide CNV-pQTL discovery (cis + trans) — pGWAS-adjacent. Protein measurements reused from UKB-PPP (Olink), not measured de novo; primarily a CNV PheWAS.",
,borderline,primary_pgwas,medium,2025,"Koprulu et al., Nat Commun 2025",Plasma,Olink (antibody) + SomaScan (aptamer),Multi-platform,"Two cohorts (UK Biobank-PPP + Fenland), 30,307 females + 26,058 males",>5800,56365,,,103 sex-differential pQTLs,40360480,10.1038/s41467-025-59034-4,https://pubmed.ncbi.nlm.nih.gov/40360480/,https://doi.org/10.1038/s41467-025-59034-4,Nature communications,we systematically investigated sex differences in the genetic regulation of plasma proteome (>5800 protein targets) across two cohorts ... only 103 sex-differential protein quantitative loci (sd-pQTLs; ... from antibody- and aptamer-based platforms).,"Reuses UKB-PPP (Olink) + Fenland (SomaScan) measurements (no de-novo measurement) but performs a novel genome-wide sex-differential pQTL scan; borderline, consistent with idx 40/52.",
,borderline,method_or_database,medium,2025,"Sigurdsson et al., Nat Commun 2025",Plasma,Olink (UKB-PPP) + mass spectrometry,Multi-platform,"UK Biobank proteomics cohort (European), N=48,594; replication in Olink and MS cohorts",~2900 (UKB-PPP Olink),48594,,,,41392155,10.1038/s41467-025-67235-0,https://pubmed.ncbi.nlm.nih.gov/41392155/,https://doi.org/10.1038/s41467-025-67235-0,Nature communications,"Applying this method to the UK Biobank proteomics cohort of 48,594 individuals, we identify 123 proteins that are correlated with non-linear covariates and 15 with genetic dominance and epistasis.","Deep-learning method (EIR-auto-GP) to detect dominance/epistasis pQTL effects; reuses UKB-PPP Olink measurements (no de-novo measurement by authors), but performs a genome-wide complex-effect pQTL scan; method-paper, borderline.",
,borderline,primary_pgwas,medium,2025,"Bhak et al., Sci Rep 2025",Plasma,"Olink (UKB-PPP, 2922 proteins)",PEA (Olink),"UK Biobank Caucasian (discovery); Japanese, Finnish, South Asian, Black (replication)",2922,30272,,,113 sex-dimorphic pQTLs (65 proteins),40877285,10.1038/s41598-025-10031-z,https://pubmed.ncbi.nlm.nih.gov/40877285/,https://doi.org/10.1038/s41598-025-10031-z,Scientific reports,"We conducted a sex-stratified, genome-wide association study on 2,922 proteins using data from 30,272 individuals of Caucasian ancestry from the UK Biobank.","Reuses UKB-PPP Olink measurements (not de-novo), but performs novel sex-stratified genome-wide pQTL discovery with multi-ancestry replication; also runs MR. Exclude is defensible under strict de-novo criterion.",
,borderline,primary_pgwas,medium,2025,"Farinas et al., Nat Med 2025",CSF + Plasma (paired),SomaScan,Aptamer (SomaScan),"2,171 healthy/cognitively impaired older adults (multi-cohort, GNPC)",NR,2171,,,loci for 241 protein CSF:plasma ratios,40665050,10.1038/s41591-025-03831-3,https://pubmed.ncbi.nlm.nih.gov/40665050/,https://doi.org/10.1038/s41591-025-03831-3,Nature medicine,Genome-wide association studies identified genetic loci associated with CSF to plasma ratios of 241 proteins.,"Borderline: de-novo SomaScan CSF/plasma measurement + genome-wide ratio-QTL (CSF:plasma ratio), an explicitly flagged borderline-keep category.",
,borderline,primary_pgwas,medium,2025,"Hofmeister et al., Nature 2025",Plasma,Olink Explore (UKB-PPP),PEA (Olink),"UK Biobank (up to 109,385 with parent-of-origin inference); replication Estonian Biobank, MoBa",NR,up to ~109385,,,">14,000 pQTLs scanned for POE",40770099,10.1038/s41586-025-09357-5,https://pubmed.ncbi.nlm.nih.gov/40770099/,https://doi.org/10.1038/s41586-025-09357-5,Nature,"Genome-wide association study scans for 59 complex traits and over 14,000 protein quantitative trait loci contrasting maternal and paternal effects identified over 30 POEs.",Reuses UKB-PPP protein measurements (no de-novo measurement) but performs a genuine novel parent-of-origin pQTL scan; flagged borderline as it generates new pQTL-type statistics without new proteomics.,
,borderline,primary_pgwas,medium,2025,"Yu et al., Biomedicines 2025",Plasma,Olink Explore 384 (Cardiometabolic),PEA (Olink),"500 type 2 diabetes patients, Shanghai (Chinese)",369,500,66 cis-pQTLs for 64 proteins,,66,40299563,10.3390/biomedicines13040971,https://pubmed.ncbi.nlm.nih.gov/40299563/,https://doi.org/10.3390/biomedicines13040971,Biomedicines,We measured all 369 proteins in the Olink Explore 384 Cardiometabolic ... panel of 500 patients with type 2 diabetes ... Protein quantitative trait loci (pQTLs) were derived by coupling genomic and proteomic data.,"De-novo Olink measurement and own cis-pQTL derivation in 500 T2D patients; small panel/N and primarily a drug-target MR study, so borderline but has primary pQTL data.",
,borderline,primary_pgwas,medium,2025,"Yao et al., Stroke 2025",Plasma,Olink Explore,PEA (Olink),China Kadoorie Biobank (East Asian) + UK Biobank (European),2923,NR (CKB + UKB),cis-pQTL for 2923 proteins (from own GWAS),,,40304040,10.1161/strokeaha.125.050982,https://pubmed.ncbi.nlm.nih.gov/40304040/,https://doi.org/10.1161/strokeaha.125.050982,Stroke,We extracted individual cis-protein quantitative trait locus for 2923 proteins measured using Olink Explore panel from a genome-wide association study in prospective China Kadoorie Biobank and UK Biobank.,"Performs own GWAS-derived cis-pQTL scan in CKB+UKB Olink data, then MR/coloc/drug-target downstream; has primary scan so keep, but main thrust is MR/druggability and CKB measurement may overlap CKB-PPP. Borderline.",
,borderline,primary_pgwas,medium,2025,"Abbas et al., bioRxiv 2025",Plasma,Olink,PEA (Olink),362 plasma samples (with WGS),NR,362,,,1273 pQTLs linked to 22 proteins,,10.1101/2025.11.21.689764,,https://doi.org/10.1101/2025.11.21.689764,"{'publisher': 'bioRxiv', 'yearOfPublication': 2025}","The same variants were used to perform protein quantitative trait loci (pQTL) analysis in a set of 362 plasma samples profiled on the Olink platform ... We identified ... 1,273 pQTLs linked to 22 proteins.","De-novo Olink measurement with own pQTL analysis, but restricted to T2D GWAS-Catalog variants (sub-genome-wide, p<=1e-4) rather than a genome-wide scan; small N. Borderline.",
